code,name,asset_class,sector,theme,subtheme,underlying_index,listing_date,benchmark_code,correlation_cluster,strategic_role_hint,incumbent,challenger,tradable,selection_universe,production_enabled,research_only,core_eligible,liquidity_tier,gen1_category,gen1_category_coverage,gen1_domain_status,notes,data_start_date
512010,医药ETF,equity,healthcare,healthcare,,,2013-10-28,510300,healthcare,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
512690,酒ETF,equity,consumer,consumer,,,2019-05-06,510300,consumer,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
159928,消费ETF,equity,consumer,consumer,,,2013-09-16,510300,consumer,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
510880,红利ETF,equity,defensive_dividend,defensive_dividend,,,2007-01-18,510300,defensive_dividend,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
512800,银行ETF,equity,financial,financial,,,2017-08-03,510300,financial,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
512000,券商ETF,equity,financial,financial,,,2016-09-14,510300,financial,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
512660,军工ETF,equity,cyclical_resources,cyclical_resources,,,2018-06-12,510300,cyclical_resources,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2018-06-12
515030,新能源车ETF,equity,cyclical_resources,cyclical_resources,,,2020-03-04,510300,cyclical_resources,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2020-03-04
515790,光伏ETF,equity,cyclical_resources,cyclical_resources,,,2020-12-18,510300,cyclical_resources,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2020-12-18
512400,有色金属ETF,equity,cyclical_resources,cyclical_resources,,,2017-09-01,510300,cyclical_resources,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
515220,煤炭ETF,equity,cyclical_resources,cyclical_resources,,,2020-03-02,510300,cyclical_resources,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
513180,恒生科技ETF,equity,overseas_equity,overseas_equity,,,2021-05-25,510300,overseas_equity,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2021-05-25
159941,纳指ETF,equity,overseas_equity,overseas_equity,,,2015-07-13,510300,overseas_equity,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
513500,标普500ETF,equity,overseas_equity,overseas_equity,,,2014-01-15,510300,overseas_equity,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2024-01-15
